name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Lanza Phase,phasebeam,1,,1500,600,1000,,,0,20,10,,,,ENERGY,,800,0.25,0.5,1,4,,,,,3200,,,,,,,,"energy14, beam10, rare_bp, merc, ind",,,,General,,,,,,,,,,20
Rayo Gravitón,gravitonbeam,2,,1500,1000,100,,,10,15,9,,,,KINETIC,,75,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, kinetic11, LR, hightech_bp, midline_bp, merc, ind",,,,Suppression,,,,,"Altera los escudos del objetivo, aumentando todo el daño recibido por los escudos en un %s por cada rayo gravitón a plena potencia, un %s por cada dos y un %s por cada tres o más que impacten en los escudos al mismo tiempo.",5% | 8% | 10%,Los efectos gravíticos ralentizan al objetivo y lo desvían de su trayectoria. El efecto es leve y se nota más contra cazas y misiles.,,,21
Autolanza IR,irautolance,1,,1200,1000,500,,,0,50,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,USE_LESS_VS_SHIELDS,"beam12, energy10, rare_bp, merc",,,,General,,,,,,,,,,21.5
Láser de Pulsos,pulselaser,1,,1200,600,,100,,0,20,10,,,,ENERGY,80,,0.333333,0,,,,,,,,1000,,,,,,,"energy13, base_bp, merc, ind",,,,General,,,,,,,,,,22
Cañón Minero,miningblaster,0,,1000,500,,200,,0,7,10,4,0.5,,HIGH_EXPLOSIVE,300,,0,0.2,,,,,,,,1000,,,,,,USE_LESS_VS_SHIELDS,"energy12, base_bp, ind",,,,Anti Armor,,,,,Cada rayo inflige un daño adicional de %s al blindaje. Este daño no se ve reducido por el blindaje.,100,,,,22.125
Cañón Pesado,heavyblaster,2,,2500,600,,500,,0,15,12,,,,ENERGY,720,,0,1,,,,,,,,1000,,,,,,,"energy14, rare_bp, hist1t, merc, ind",,,,General,,,,,,,,,,22.25
Cañón Cinético,kineticblaster,3,,5000,600,,250,,0,15,12,,,,KINETIC,375,,0,1,,,,,,,,1400,,,,,,,"kinetic11, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Lion's Guard,,Anti Shield,,,,,,,,,,22.35
Láser de Ráfagas Pesado,heavyburst,2,,2000,600,450,,,0,75,9,6,0.75,,ENERGY,,300,0.1,0.1,0.35,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR","pd15, beam10, rare_bp, merc, ind",,,,Point Defense,,,,,,,,,,22.5
Pulsor Iónico,ionpulser,2,0.6,2250,500,,90,600,0,20,11,20,2,3,ENERGY,100,,0.05,0.05,3,0.1,3,20,1,4,,1000,,,,,,,"energy13, rare_bp, merc, ind",,,,Suppression,,,,,"Los impactos en el casco o el blindaje tienen un %s de probabilidad de arquear hacia las armas y los motores, infligiendo un daño adicional equivalente al del impacto original.",25%,,,,22.75
Rayo Iónico,ionbeam,3,0.5,2500,1000,50,,400,0,15,12,,,,ENERGY,,150,0.1,0.1,,,,,,,2400,,,,,,,FIRE_WHEN_INEFFICIENT,"beam14, LR, rare_bp, hist1t, merc, ind",,,,Suppression,,,,,"Los impactos en el casco o el blindaje provocan periódicamente arcos hacia en las armas y los motores, lo que inflige daño adicional por EMP y por energía. Los impactos en los escudos tienen una probabilidad de generar un arco eléctrico que atraviesa los escudos, en función del nivel de flux duro del objetivo.",,,,,22.85
Cañón de Plasma,plasma,3,,7500,700,,500,,,20,30,,,,ENERGY,550,,0.33,1.01,3,0.33,,,,,,750,,,500,,,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp, hist1t, merc, ind",,,,General,,,,,El sistema de puntería no es capaz de localizar cazas cuando se encuentra en modo de control local o automático.,,,,,23
Láser de Alta Intensidad,hil,1,,4500,1000,500,,,0,5,20,,,,HIGH_EXPLOSIVE,,400,0.1,0.1,,,,,,,2400,,,,,,,,"beam20, LR, hightech_bp, merc, ind",,,,Anti Armor,,,,,,,,,,24
Láser de Autopulso,autopulse,1,,4500,700,,150,,0,20,20,30,2,,ENERGY,125,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,,"energy18, hightech_bp, merc, ind",,,,General,,,,,,,,,,25
Sistema Paladín DA,guardian,2,0.5,5000,750,1000,,,0,75,18,20,1,,ENERGY,,300,0,0,0.2,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR","pd19, beam15, rare_bp, merc, ind",,,,Point Defense,,,,,"Cuando todos los subrayos impactan en un objetivo muy cerca unos de otros, el efecto de desprendimiento produce una explosión que inflige hasta 100 puntos de daño de fragmentación a otros objetivos cercanos.",100 | fragmentation,,,,26
Lanza de Taquiones,tachyonlance,3,0.5,8000,1000,1500,,1000,0,7,25,,,,ENERGY,,2000,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, rare_bp, hist1t, merc, ind",,,,Suppression,,,,,"Los impactos en el casco o el blindaje suelen provocar arcos hacia las armas y los motores, causando daño adicional por EMP y por energía. Los impactos en los escudos pueden generar un arco que los atraviese, dependiendo del nivel de flux duro del objetivo.",,,,,27
Gigacañón,gigacannon,3,,10000,700,,2500,,0,5,25,,,,ENERGY,1500,,1,9,,,0,0,0,0,,1000,,,,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike18, no_sell, no_dealer, no_drop_salvage, codex_unlockable",,Lion's Guard,,Strike,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minipulsor,minipulser,3,,25000,500,,50,,1,50,8,20,2,10,KINETIC,50,,0.05,0.05,,,0,5,1,15,,1000,,,,,,,"kinetic9, omega, restricted, codex_unlockable",,Unknown,,Anti Shield,,,,,,,,,,0.5
Repetidor de Shock,shockrepeater,3,,20000,300,,50,200,0,100,7,,,,ENERGY,25,,0,0.5,1,,,,,,,10000,,,,,25,PD,"pd14, omega, restricted, codex_unlockable",,Unknown,,Point Defense,,,,Perfect,Lanza un arco EMP contra el objetivo más cercano en la dirección en la que apunta el arma. El arco siempre da en el blanco.,,,,,19.25
Lanza de Fisura,riftlance,3,,30000,600,1000,,,0,20,9,,,,ENERGY,,1000,0.125,0.25,0.5,2,,,,,3200,,,,,,,,"energy11, beam10, omega, restricted, codex_unlockable",,Unknown,,General,,,,,,,,,,29.1
Minador de Lanza de Fisura,riftlance_minelayer,0,,,,,500,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
Rayo de Fisura,riftbeam,3,,100000,600,150,,,0,100,10,,,,ENERGY,,75,0.1,0.1,,,,,,,2400,,,,,,,PD,"beam10, pd15, omega, restricted, codex_unlockable",,Unknown,,Point Defense,,,,,"Crea fisuras espaciotemporales a lo largo del rayo, dirigidas contra misiles y cazas enemigos cercanos. Cada fisura inflige hasta un %s de daño de energía a los objetivos cercanos.",200,,,,21
Minador de Rayo de Fisura,riftbeam_minelayer,0,,,,,200,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
Lanzallamas criogénicas,cryoflux,3,,100000,400,,100,,3,60,15,90,6,30,ENERGY,50,,,0.05,2,0.05,0,0,0,0,,500,,,,,,,"energy15, SR, omega, restricted, codex_unlockable",,Unknown,,General,,,,,,,,,,
Cañón criogénico,cryoblaster,3,,100000,600,,1400,,50,20,16,,,,FRAGMENTATION,500,,0,1,,,0,0,0,0,,750,,,,,,,"energy15, omega, restricted, codex_unlockable",,Unknown,,General,,,,,,,,,,22.25
Desintegrador,disintegrator,3,,100000,900,,100,,25,20,14,,,,HIGH_EXPLOSIVE,200,,0,2,3,0.2,4,4,,,,700,,,,,,,"he18, omega, restricted, codex_unlockable",,Unknown,,Anti Armor,,,,Tir dispersé,Cada disparo inflige 1000 puntos de daño adicionales al blindaje durante 10 segundos. Este daño no se ve reducido por el blindaje.,1000 | 10,,,,22.25
Emisor en Cascada de Fisura,riftcascade,3,,200000,1000,1000,,,0,7,30,,,,ENERGY,,3000,0.5,1,1,4,,,,,10000,,,,,,,,"energy22, beam17, LR, omega, restricted, codex_unlockable",,Unknown,,General,,,,,"Al impactar crea fisuras en el espacio-tiempo. Se generan más fisuras cuando el rayo se dispara a corta distancia. Cada fisura inflige entre %s y %s de daño de energía a los objetivos cercanos, y las fisuras sucesivas infligen más daño.",750 | 1250,,,,29.1
Minador de Emisores en Cascada,riftcascade_minelayer,0,,,,,1000,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
Impulsor de Partículas Volátiles,vpdriver,3,,200000,1000,,150,,10,20,30,30,3,15,KINETIC,100,,0.05,0.05,1,,0,10,1,10,,1000,,,,,,,"kinetic20, omega, restricted, codex_unlockable",,Unknown,,Anti Shield,,,,,Los disparos pueden perder cohesión y disiparse. El %s de los disparos llega a la mitad del alcance máximo y el %s de los disparos llega al alcance máximo.,100% | 50%,,,,25
Disruptor de Realidad,realitydisruptor,3,,250000,1000,,25,1500,10,5,30,,,,ENERGY,2000,,1,9,,,,,,,,200,0,100,10000,,,,"energy22, LR, omega, restricted, codex_unlockable",,Unknown,,Suppression,,,,,"El proyectil lanza arcos EMP contra los objetivos enemigos cercanos mientras se desplaza. El daño indicado corresponde a los arcos EMP; el proyectil en sí no inflige daño y pasará por encima de las naves. Las reparaciones de armas y motores tardan un %s más durante %s segundos en las naves afectadas.",2{x} | 10,,,TRUE,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanzador Antimateria MCD,amsrm,3,,40000,1200,,1000,,15,50,7,3,0.05,,ENERGY,1000,,0,0.5,1,,0,0,0,0,,1000,200,3,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile9, strike7, omega, restricted, codex_unlockable",,Unknown,,Anti Small Craft,Extremely Fast,Excellent,,,,,,,TRUE,10
Lanzador Resonador MMD,resonatormrm,3,,100000,2500,,250,,15,20,16,8,0.4,4,KINETIC,50,,0,1.25,4,0.25,0,0,0,,,400,200,10,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","missile15, strike11, omega, restricted, codex_unlockable",,Unknown,,Anti Shield,Fast,Excellent,,,,,,,,12
Lanzador de Torpedos de Fisura,rifttorpedo,3,,500000,2000,,6000,,75,10,30,1,0.05,,ENERGY,3000,,0,1,1,,0,0,0,0,,200,100,15,3000,,,"STRIKE, DO_NOT_AIM","strike20, missile20, omega, restricted, codex_unlockable",,Unknown,,Guided Torpedo,Slow,Excellent,,,,,,,TRUE,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanzador de Enjambre,swarm_launcher,0,,30000,1,,1,1,0,0,20,30,,,FRAGMENTATION,0,,0.25,1.25,,,0,0,0,0,,1,1,0.1,1,,,"DO_NOT_AIM, NO_MANUAL_FIRE","threat, fragment, restricted, codex_unlockable, no_standard_data, swarm1",,Threat,,Special,,,,,"Requiere la modificación del casco %s y utiliza %s fragmentos por enjambre lanzado. Puede controlar hasta %s enjambres a la vez, pero esperará a lanzar nuevos enjambres hasta que se agoten los existentes.",Essaim de Fragments|50|4,Esta arma no se puede disparar manualmente y siempre lanzará enjambres tan pronto como sea posible.,,,14
Fragmento Buscador,seeker_fragment,0,,3000,2000,,600,,,0,3,1,0.2,,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,,,300,0,15,500,,,"IMPORTANT, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, missile1",,Threat,,General,Medium,Excellent,,,Requiere la modificación del casco %s y utiliza %s fragmentos por enjambre lanzado.,Essaim de Fragments|10,,,TRUE,15
Fragmentos Cinéticos,kinetic_fragments,0,,3000,1500,,400,,,0,4,1,0.2,,KINETIC,0,,0.25,0.25,1,,,,,,,400,0,5,300,,,"IMPORTANT, DO_NOT_CONSERVE, DO_NOT_AIM, RANGE_FROM_SHIP_RADIUS","threat, fragment, restricted, codex_unlockable, kinetic1, rocket1",,Threat,,Anti Shield,Fast,Special,,,Requiere la modificación del casco %s y utiliza %s fragmentos por enjambre lanzado. Los fragmentos secundarios infligen %s de daño cinético por impacto.,Essaim de Fragments|5|100,,,TRUE,15.1
Fragmento Inestable,unstable_fragment,0,,3000,500,,750,,,0,2,1,0.5,,FRAGMENTATION,,,0.25,0.75,1,,,,,,,100,0,5,300,,,"PD, ANTI_FTR, DO_NOT_AIM, RANGE_FROM_TARGETING_OVAL","threat, fragment, restricted, codex_unlockable, pd1, rocket1",,Threat,,Anti Fighter (Area),Very Slow,Special,,,Requiere la modificación del casco %s y utiliza %s fragmento por enjambre lanzado. Sin guiar tras una breve fase inicial de fijación.,Essaim de Fragments|1,,,TRUE,15.25
Enjambre de Desfabricación,devouring_swarm,0,,3000,2500,,200,,,0,3,9,0.2,3,HIGH_EXPLOSIVE,,,0.25,0.75,1,,,,,0,,250,,20,1000,,,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR, DIRECT_AIM, MISSILE_SPREAD, RANGE_FROM_SHIP_RADIUS, USE_LESS_VS_SHIELDS","threat, fragment, restricted, codex_unlockable, he1",,Threat,,Anti Armor,Medium,Excellent,,,Requiere la modificación del casco %s y utiliza al menos %s fragmentos por enjambre lanzado. No inflige daño a los escudos.,Essaim de Fragments|6|50|no damage,"Una nube de fragmentos ataca al objetivo, atravesando su blindaje y destrozando el casco una vez que queda al descubierto, creando nuevos fragmentos que regresan al enjambre de la nave lanzadora.",,TRUE,15.5
Descarga Voltaica,voltaic_discharge,0,,2000,500,,25,50,0,0,5,20,2,20,ENERGY,25,,0,0.2,1,,,,,,,10000,,,,,360,"PD, DO_NOT_AIM, RANGE_FROM_TARGETING_OVAL","threat, fragment, fragment_glow, restricted, codex_unlockable, pd1, energy7",,Threat,,Point Defense,,,,Perfect,Requiere la modificación del casco %s y al menos %s fragmentos activos. Lanza una lluvia de arcos EMP contra los objetivos cercanos. Los arcos siempre dan en el blanco.,Essaim de Fragments|10,,,,16
Torpedo de Neutrones,neutron_torpedo,0,,4000,1200,,2500,,75,10,3,2,,,KINETIC,0,,0,10,1,,,,,,,300,,6,1000,,,STRIKE,"threat, restricted, codex_unlockable, strike6, rocket2, reload_3pt",,Threat,,Anti Shield Torpedo,Medium,Limited,,,,,,,TRUE,17
Impulsor de Masa Ligero,light_mass_driver,0,,3000,700,,90,,10,30,10,,,,KINETIC,60,,0,0.6,1,,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, kinetic8, LR",,Threat,,Anti Shield,,,,,,,,,,17.5
Cañón de Masa Pesado,heavy_mass_driver,0,,6000,800,,200,,40,15,15,,,,KINETIC,140,,0,1,1,,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, kinetic14, LR",,Threat,,Anti Shield,,,,,,,,,,18
Tetrabobina Neoférrica,neoferric_quadcoil,0,,10000,900,,200,,10,30,20,,,,HIGH_EXPLOSIVE,200,,0,4.3,8,0.1,,,,,,900,,,,,,,"threat, restricted, codex_unlockable, he17",,Threat,,Anti Armor,,,,,,,,,,18.5
Cañón Voltaico,voltaic_cannon,0,,5000,800,,300,500,0,50,3,2,0.01667,1,ENERGY,500,,0.5,0,,,,,,,,300,,,,,,"STRIKE, USE_LESS_VS_SHIELDS","threat, restricted, codex_unlockable, energy7, strike3",,Threat,,Suppression,,,,,"Los impactos en el casco o el blindaje generan un gran número de arcos EMP. Los impactos en los escudos pueden generar arcos EMP que los atraviesan, dependiendo del nivel de flux duro del objetivo.",,,,,19
Cañón del Vacío,voidblaster,,,7000,700,,300,,0,15,16,12,0.5,4,HIGH_EXPLOSIVE,200,,0,0.25,,,10,10,0,10,,5000,,,,,,,"threat, restricted, codex_unlockable, he12",,Threat,,Anti Armor,,,,,"Inflige %s de daño a los escudos, a pesar de no ser un arma de rayos.",soft flux,,,,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet de Pseudopartículas,pseudoparticle_jet,3,,10000,600,,25,,3,40,22,,,,KINETIC,30,,,0.05,6,0.05,0,0,0,0,,400,,,,,,,"monster, dweller, restricted, codex_unlockable, kinetic15, SR, no_drop, substrate_2",,Shrouded Dweller,,Anti Shield,,,,,,,,,,20
Fisura Voraz,assaying_rift,3,,10000,2000,,600,,,180,18,,,,ENERGY,600,,0,2,1,,0,0,0,0,,200,400,14,800,,,DO_NOT_AIM,"monster, dweller, restricted, codex_unlockable, pd10, missile10, no_drop, substrate_2",,Shrouded Dweller,,General,Slow,Excellent,,,"Al impactar contra el casco o el blindaje, cura a una de las proyecciones del Malevo Envuelto en el campo de batalla en 1000 puntos.",1000,"Una propiedad difícil de comprender, inherente al espacio-tiempo, impide que se formen más de 10 fisuras activas en total para todas las armas del campo de batalla. Esta limitación no se aplica al Malevo Envuelto.",10,,20.5
Rayo de Fisura,rift_lightning,3,,15000,600,,500,1000,0,50,20,,,,ENERGY,500,,0,2,,,,,,,,1000000,,,,,,"PD,PD_ALSO","monster, dweller, restricted, codex_unlockable, pd15, energy19, no_drop, substrate_3",,Shrouded Dweller,,General,,,,Perfect,"Lanza un arco EMP contra el objetivo y abre una fisura que inflige daño en un área alrededor del punto de impacto. El arco puede fallar dependiendo de hacia dónde apunte exactamente el arma, y puede pasar por encima de naves aliadas.",,,,,20.75
Minador de Rayo de Fisura,rift_lightning_minelayer,0,,,,,500,1000,0,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,"restricted, no_drop",,Shrouded Dweller,,,,,,,,,,,,21
Brillo Abisal,abyssal_glare,3,,25000,800,500,,1000,0,7,30,,,,ENERGY,,500,0.1,0.1,,,,,,,6000,,,,,,,,"monster, dweller, restricted, codex_unlockable, beam21, no_drop, substrate_5",,Shrouded Dweller,,General,,,,,"Produce explosiones que infligen hasta 100 puntos de daño de energía a todos los objetivos cercanos, incluido el que está siendo alcanzado por el rayo.",100 | energy,,,,22
Emanación Hostil,inimical_emanation,3,,5000,500,,100,500,0,120,10,,,,ENERGY,175,,0,1,1,,,,,,,10000,,,,,25,PD,"monster, dweller, restricted, codex_unlockable, pd14, no_drop, substrate_1",,Shrouded Dweller,,Suppression / Point Defense,,,,Perfect,Dispara al objetivo más cercano en la dirección en la que apunta el arma en ese momento. Puede apuntar a naves en phase. Siempre impacta y apunta a las armas y los motores de las naves. Los impactos en el casco o el blindaje hacen que las reparaciones de armas y motores tarden un %s más durante %s segundos.,2{x} | 5,,,,22.1
Vórtice Vertiginoso,vortex_launcher,0,,100000,3000,,0,0,0,0,50,2,0.1,,FRAGMENTATION,0,,0,3,,,0,0,0,0,,1,1,0.1,1,,,"DO_NOT_AIM, NO_MANUAL_FIRE","monster, dweller, restricted, codex_unlockable, no_drop, no_standard_data",,Shrouded Dweller,,Special,,,,,"Lanza un Vórtice Envuelto que intentará localizar y golpear a los objetivos cercanos, finalmente explotando e infligiendo hasta 2000 puntos de daño de energía en un área.",Shrouded Vortex | 2000 | energy,,,,22.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Rayo de Interdicción,interdictorbeam,2,,1000,700,0,,,100,15,5,,,,ENERGY,,100,0.5,1,,,,,,,2400,,,,,,,SYSTEM,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Cartucho Flak,canister_flak,,,,200,,200,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,5,0.5,150,150,0,0,,50,200,2,100,,,SYSTEM,,,,,,,,,,,,,,,35.5
Lanzador de Señuelos,flarelauncher1,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.1,10,0.1,60,60,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,36
Lanzador de Señuelos de Distracción,flarelauncher2,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,3,0.4,30,30,0,0,,200,100,5,500,,,SYSTEM,,,,,,,,,,,,,,,37
Lanzador de Señuelos de Distracción (Individual),flarelauncher21,,,,200,,10,0,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,200,100,5,500,,,SYSTEM,,,,,,,,,,,,,,,37
Lanzador de Señuelos Buscadores,flarelauncher3,,,,500,,10,400,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,90,90,0,0,,400,200,7,1,,,SYSTEM,,,,,,,,,,,,,,,38
Lanzador de Partículas,motelauncher,,,,500,,1,1500,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,400,200,10000,500,,,SYSTEM,,,,,,,,,,,,,,,38.25
Lanzador de Partículas,motelauncher_hf,,,,500,,300,1500,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,400,200,10000,500,,,SYSTEM,,,,,,,,,,,,,,,38.26
Minador,minelayer1,0,,200000,1000,,2000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,,,SYSTEM,,,,,,,,,,,,,,,38.5
Minador Pesado,minelayer2,0,,200000,1000,,2000,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,20,500,,,SYSTEM,,,,,,,,,,,,,,,38.7
Lanzador de Bombas Orión,od_bomblauncher,0,,200000,1000,,500,,25,30,12,30,,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,50,1,10000,,,SYSTEM,,,,,,,,,,,,,,,38.8
Lanzador de Bombas Nova,nb_bomblauncher,0,,200000,1000,,500,,25,30,12,30,,,ENERGY,0,,0,3,1,,0,0,0,0,,50,50,1,10000,,,SYSTEM,,,,,,,,,,,,,,,38.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanzador de Pulso Térmico,tpc,0,,100000,1000,,250,,0,0,,20,1,,ENERGY,150,,0,0.2,1,,0,10,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,TPC_only,,,General,,,,,,,,,,40
Adjudicador Pesado,heavy_adjudicator,1,,100000,800,,800,,,0,40,20,0.5,5,FRAGMENTATION,100,,0,0.333333,1,,0,5,3,5,,1200,,,,,3,"SYSTEM,SHOW_IN_CODEX,PD,PD_ALSO",codex_unlockable,H_A_only,Domain Restricted,,Anti Armor (Area),,,,,"Cada proyectil cuenta con un detonador de proximidad y causa daños en una amplia zona al explotar.

Se dirigirá hacia los misiles si no hay otros objetivos al alcance.",,,,,40.5
Conversión de Misiles Terminator,terminator_missile,3,,0,1500,,1200,600,200,0,0,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,400,0,10,100000,,,"DIRECT_AIM, SYSTEM",restricted,,,,Missile,Fast,Medium,,,,,,,TRUE,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Placa de Propulsión (Baja Tecnología),pusherplate_lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.5
"Placa de Propulsión (Baja Tecnología, Pequeña)",pusherplate_lt_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.75
"Placa de Propulsión (Remanente, Nova)",pusherplate_nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.8
Antena de Detección,sensordish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Antena Lidar,lidardish,0,,1,0,100,,,0,200,0,1000,1000,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,lidar,,,,Special,,,,,,,,,,43.5
Láser Nova,novalaser,0,,1,55,1,,,0,200,0,,,,ENERGY,,0,0.1,0.1,,,,,,,1000000,,,,,,,SYSTEM,"nova, fixed_range",,,,Special,,,,,,,,,,43.75
Baliza Roja,blinker_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Baliza Verde,blinker_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,45
Luces - Búfalo,lights_buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,46
Luces - Sabueso,lights_hound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Laser de Puntería - Rojo,targetinglaser1,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,49
Laser de Puntería - Verde,targetinglaser2,0,,1,0,1,,,0,200,0,1000,1000,,ENERGY,,0,0.05,0.05,0.1,0.05,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,50
Laser de Puntería - Doble Rojo Continuo,targetinglaser3,0,,1,0,100,,,0,200,0,,,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
