name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Equipamiento de Sondeo,surveying_equipment,1,,,"special, req_spaceport, standard","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,"Reduce la maquinaria pesada y los suministros necesarios para realizar sondeos en un %s/%s/%s/%s, dependiendo del tamaño del casco, hasta un mínimo de %s por cada uno.",Reduce los recursos necesarios para los sondeos.,Aumenta la reducción del coste de los sondeos en un %s.,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Núcleo Terminator,terminator_core,,,,,Weapons,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,"Otorga a todas las armas de defensa antiaérea la capacidad de identificar —e ignorar— los señuelos de distracción. Además, todas las armas obtienen la mejor puntería posible, independientemente de la capacidad de combate; todo el daño infligido por misiles y cazas se incrementa en un %s, y el alcance de las armas de rayo se incrementa en %s unidades.",,,graphics/hullmods/terminator_core.png
Disipador de Flux Compartido,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,"Gestiona el %s de la disipación de flux de todos los módulos conectados. Si se pierden módulos durante el combate, la disipación de flux adicional se redistribuye entre los módulos restantes. Hasta un %s de esta disipación adicional se aplica al flux duro.",Bonificación a la disipación de Flux/Flux duro a medida que se pierden módulos.,,graphics/hullmods/shared_flux_sink.png
Campo de Minas Sigiloso,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,Las minas atacan a las naves enemigas durante la batalla.,Las minas atacan a las naves enemigas durante la batalla.,,graphics/hullmods/stealth_mines.png
Campo de Minas Sigiloso - Baja Tecnología,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,Las minas atacan a las naves enemigas durante la batalla.,Las minas atacan a las naves enemigas durante la batalla.,,graphics/hullmods/stealth_mines.png
Cubierta B,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"Una vez por combate, cuando la tasa de repuesto de cazas alcanza el %s, las plataformas de despegue de cazas pasan a operar desde una «cubierta B».

Se despliegan cazas de reserva para restablecer rápidamente la plena capacidad de las escuadras, y la tasa de repuesto de cazas se fija en %s.",Lanza un escuadrón nuevo una vez por combate y repone la tasa de repuesto.,,graphics/hullmods/bdeck.png
Almacén de Chasis de Cazas,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,La tasa de respuesto de cazas no disminuye cuando se pierden cazas.,La tasa de repuesto de cazas no disminuye.,,graphics/hullmods/expanded_deck_crew.png
Escudos Siempre Activos,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,"Fuerza a los escudos a permanecer activos. Oculto, no necesita descripción ni icono.",,graphics/hullmods/hardened_shields.png
Autoforja de Misiles,missile_reload,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,Una autoforga en el interior de la nave recarga periódicamente por completo los cargadores de todas las armas de misiles.,Recarga periódicamente todas las armas de misiles.,,graphics/hullmods/expanded_missile_racks.png
Bodegas de Carga Reforzadas,shielded_holds,2,,,,,,,TRUE,,0,0,0,0,data.hullmods.ShieldedCargoHolds,"Se encuentra habitualmente en naves que no siempre pueden confiar en los escudos para proteger su carga de la radiación cósmica. Solo se necesitan unos pocos ajustes para que el blindaje confunda los escáneres de cargamento de largo alcance, lo que reduce la probabilidad de que el contrabando sea detectado.",Aumenta las posibilidades de evitar que se detecte el contrabando.,,graphics/hullmods/shielded_cargo_hold.png
Grúa de Salvamento,repair_gantry,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.RepairGantry,"Aumenta los recursos obtenidos al rebuscar estaciones abandonadas, derelictos, cascos a la deriva y otros objetos similares en un %s/%s/%s/%s, dependiendo del tamaño del casco. Solo afecta a la recuperación de recursos comunes como combustible y suministros, y no a objetos raros como planos. Además, el %s de la bonificación se aplica al salvamento posterior a la batalla.",Aumenta los recursos obtenidos del salvamento.,,graphics/hullmods/repair_gantry.png
Campo Phase,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"La nave es capaz de mantener un campo phase de baja intensidad durante largos periodos de tiempo, lo que reduce su perfil de detección efectivo en un %s.",Reduce el perfil de los sensores en toda la flota.,,graphics/hullmods/phase_field.png
Derivación de Flux,fluxshunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.FluxShunt,Permite que la nave disipe flux duro a un %s de la velocidad normal mientras los escudos están activados.,Permite la disipación de flux duro mientras los escudos están activados.,,graphics/hullmods/flux_shunt.png
Casco de Grado Civil,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,Aumenta el perfil de los sensores en un %s. Reduce la potencia del sensor en un %s.,"Aumenta el perfil de los sensores y reduce su potencia.",,graphics/hullmods/civilian_grade.png
Alto Mantenimiento,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,Aumenta el coste mensual de suministros para el mantenimiento en un %s.,Aumenta el coste de mantenimiento.,,graphics/hullmods/high_maintenance.png
Cohesor de Rayos Energéticos,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<tooltip created in the script>,Aumenta el alcance base de las armas de energía que no emiten rayos.,,graphics/hullmods/coherer.png
Compromisos de Diseño,design_compromises,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DesignCompromises,"El rendimiento de la nave se ve afectado por prioridades de diseño conflictivas, ya que se han integrado múltiples proyectos de última generación demasiado tarde en el ciclo de diseño.

La disipación y capacidad de flux de la nave, incluso los valores base nominales, se reducen en un %s.

El alcance de las armas balísticas se reduce en un %s, la cadencia de fuego de las armas de misiles se reduce en un %s y la generación de flux de las armas de energía aumenta en un %s.

En el lado positivo, se puede poner en funcionamiento más capacidad adicional de nanoforja, lo que permite la instalación de un %s a pesar de que la nave ya cuenta con una bahía de cazas, aumentando el número de bahías de cazas operativas a %s.","Reduce el alcance de los misiles y las armas balísticas, así como la disipación y capacidad de flux.",,graphics/hullmods/design_compromises.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cable Monofilamento de Remolque,tow_cable,,,,hide_in_codex,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Aumenta en 1 el nivel de propulsión máximo de la nave más lenta de la flota. No se pueden utilizar múltiples para acelerar la misma nave en más de 1.

No se puede utilizar en combate.",Aumenta el nivel de propulsión de otra nave.,,graphics/hullmods/monofilament_cable.png
Estabilizador del Campo de Propulsión,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Estabiliza el campo de propulsión de la flota, aumentando la propulsión máxima de la flota en un %s. El efecto de varios estabilizadores es acumulativo.

Aumenta el perfil de los sensores de la nave en un %s.",Reduce el consumo de combustible de la flota.,,graphics/hullmods/augmented_drive_field.png
Paquete de Apoyo Terrestre,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,"Armas de apoyo cercano y contramedidas para las defensas terrestres. Aumenta la potencia efectiva de los asaltos planetarios en un %s, hasta alcanzar el número total de marines de la flota.",Mejora la eficacia de los asaltos.,,graphics/hullmods/ground_support.png
Apoyo Terrestre Avanzado,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,"Armas de apoyo cercano y contramedidas para las defensas terrestres. Aumenta la potencia efectiva de los asaltos planetarios en un %s, hasta alcanzar el número total de marines de la flota.",Mejora la eficacia de los asaltos.,,graphics/hullmods/ground_support_adv.png
Maquinaria Delicada,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"Los sistemas de la nave requieren un mantenimiento excesivo y no resisten bien las duras condiciones de los combates prolongados.

Aumenta en un %s la velocidad de deterioro de la CO en combate una vez que se agota el tiempo de máximo rendimiento.",Aumenta la tasa de deterioro de CO una vez transcurrido el tiempo de máximo rendimiento.,,graphics/hullmods/delicate_machinery.png
Integración Balística Pesada,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,Reduce el coste en puntos de armanento de las armas balísticas grandes en un %s.,Reduce el coste en puntos de armanento de las armas balísticas grandes.,,graphics/hullmods/ballistics_integration.png
Hangar Inmenso,vast_hangar,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.VastHangar,"La nave cuenta con un hangar enorme y la correspondiente pequeña flota de naves de apoyo.

El número de bahías de cazas añadidas por el Hangar Reconvertido aumenta en %s, y su rendimiento es equivalente al de una bahía de cazas dedicada - se anulan todas las penalizaciones y modificadores, incluidas las que afectan al coste de despliegue de la nave.",Aumenta el efecto del Hangar Reconvertido y elimina sus penalizaciones.,,graphics/hullmods/vast_hangar.png
Construcción Robusta,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,"Reduce la mayoría de los efectos negativos de los daños al casco en un %s. Si queda inutilizada o es destruida en combate, la nave tiene un %s de probabilidad de evitar nuevos daños al casco, y casi siempre se puede recuperar tras la batalla.

Además, el coste de suministros para recuperarla tras su despliegue —y para realizar reparaciones si la nave queda inutilizada— se reduce en un %s.",Reduce el impacto de los daños al casco; la nave casi siempre se puede recuperar si se pierde.,,graphics/hullmods/rugged_construction.png
Nave Automatizada,automated,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,"Esta nave está totalmente automatizada y no necesita —ni puede llevar a bordo— tripulación humana alguna.",No requiere tripulación ni puede llevarla a bordo.,,graphics/hullmods/automated.png
Núcleo de Puntería Avanzado,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"Aumenta el alcance de las armas balísticas y de energía en un %s. El alcance de las armas de defensa antiaérea solo se incrementa en un %s.

Impide la instalación de un Núcleo de Puntería Dedicado o de una Unidad de Puntería Integrada.",Aumenta considerablemente el alcance de las armas que no son misiles.,,graphics/hullmods/advanced_targeting_core.png
Superordenador de Puntería,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"Aumenta el alcance de las armas balísticas y de energía en un %s. El alcance de las armas de defensa antiaérea solo se incrementa en un %s.

Además, mejora la puntería del arma y aumenta considerablemente el alcance de los sensores en combate.",Aumenta considerablemente el alcance de las armas que no son misiles.,,graphics/hullmods/targeting_supercomputer.png
Bobinas Phase Experimentales,ex_phase_coils,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,Reduce el tiempo de enfriamiento del camuflaje phase en un %s.,Reduce considerablemente el tiempo de enfriamiento del camuflaje phase.,,graphics/hullmods/phase_coils_experimental.png
Atractor de Alta Frecuencia,high_frequency_attractor,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Una modificación experimental que permite que las partículas de alta frecuencia sean atraídas por el núcleo de fisura a bordo de la nave.,Lanza partículas de alta frecuencia más poderosas.,,graphics/hullmods/high_volition_attractor.png
Blindaje Ablativo,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,"Un diseño antiguo destinado a detener los micrometeoritos gracias al enorme volumen de material utilizado, anterior a la aparición del blindaje «espaciado».

Reduce la resistencia efectiva del blindaje para el cálculo de reducción de daño al %s de su valor real. Sin embargo, las naves de este diseño suelen llevar un blindaje extremadamente pesado.",Reduce la reducción de daño del blindaje.,,graphics/hullmods/ablative_armor.png
Control de Fuego Distribuído,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,"Gran parte de los daños que inutilizan las armas afectan a los circuitos de control externos y a los conductos de alimentación. Las armas de esta nave están diseñadas para funcionar de forma más independiente, lo que reduce su vulnerabilidad a los daños en un %s y disminuye el daño EMP que sufre la nave en su conjunto en un %s.",Aumenta la durabilidad de las armas y reduce el daño EMP recibido.,,graphics/hullmods/distributed_fire_control2.png
Bodega Reconvertida,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,"La bodega de carga de esta nave se ha reconvertido para albergar dos bahías de cazas. La fábrica improvisada que produce los chasis de cazas es poco fiable, y la mayoría de los componentes presentan defectos menores. La velocidad de los cazas se reduce en un %s y el daño recibido aumenta en un %s.",Par de bahías de cazas improvisadas.,,graphics/hullmods/converted_hangar.png
Modificaciones Especiales,andrada_mods,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"Durante una inspección de un prototipo inicial, se escuchó al Ejecutor Supremo hacer comentarios desfavorables sobre los conductos expuestos que discurrían por los pasillos de la nave y sobre el peligro que estos debían suponer para la valiente y leal tripulación en combate. 

El nuevo jefe de diseño, un oficial leal nombrado por el propio Ejecutor Supremo, ordenó a los forjadores-programadores que realizaran las adaptaciones necesarias para la instalación de paneles aislantes especiales a prueba de explosiones fabricados por la propia Sindria.

Aunque los pasillos sean un poco más estrechos, los conductos propensos al sobrecalentamiento y los paneles incrustados algo difíciles de acceder, los informes oficiales de preparación no incluyen ninguna crítica a los cambios. Todo el mundo está de acuerdo, tanto en público como —según el Ministerio de Seguridad Interna— en privado, que la imponente grandeza de la flota de la Guardia del León es impresionante.

Las bajas de la tripulación en combate aumentan en un %s. La disipación base de flux se reduce en un %s, y la velocidad de reparación de armas y motores averiados se reduce en un %s.",Reduce el rendimiento de la nave.,,graphics/hullmods/special_modifications.png
Masa Inmensa,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"El cuerpo principal de esta estructura es enorme y, a efectos prácticos, es capaz de absorber cualquier cantidad de daño infligido por armas convencionales sin resultar destruido.",,,graphics/hullmods/vast_bulk.png
Rotación Axial,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,Esta estructura rota constantemente sobre su eje.,,,graphics/hullmods/axial_rotation.png
Rotación de Ancla,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,Esta estructura rota alrededor de su punto de anclaje. Solo para módulos de estación.,,,graphics/hullmods/axial_rotation.png
Explosión Reducida,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Radio de explosión y daño reducidos.,,,graphics/hullmods/reduced_explosion.png
Siempre se Desprende,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Siempre se separa de la estructura principal cuando se destruye.,,,graphics/hullmods/detach_always.png
Nunca se Desprende,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Nunca se separa de la estructura principal cuando se destruye.,,,graphics/hullmods/detach_never.png
Sin Flux de Armas,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,El disparo de armas no consume flux. Se utiliza en cazas para controlar con precisión los puntos de vida efectivos del escudo.,,,
No Disparar a Través,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,"Las armas de otros módulos de una estación evitarán disparar a través de este módulo, aunque los disparos lo sobrepasen y no lo alcancen.",,,
Generador de Fragmentos,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,Genera fragmentos de nave cuando la nave se desactiva o se destruye.,,,
No Retroceder,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,Activa la bandera IA DO_NOT_BACK_OFF,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Casco de la Amenaza,threat_hullmod,,,,"codex_require_related, threat",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.combat.threat.ThreatHullmod,Modificación del casco oculta para gestionar las propiedades especiales de las naves de la Amenaza. Descripción creada en el script.,,,graphics/hullmods/the_threat.png
Enjambre de Fragmentos,fragment_swarm,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",30000,,,,6,12,18,30,com.fs.starfarer.api.impl.combat.threat.FragmentSwarmHullmod,"Un enjambre de fragmentos de la Amenaza se arremolina alrededor de la nave, proporcionando un suministro renovado de fragmentos para las armas basadas en fragmentos.

El número base de fragmentos es de %s/%s/%s/%s, y se lanzan fragmentos de repuesto %s/%s/%s/%s veces por segundo, dependiendo del tamaño del casco.

Esta modificación del casco es necesaria para que las armas de fragmentos funcionen; si la modificación no está presente o no hay suficientes fragmentos en el enjambre, las armas de fragmentos quedarán desactivadas.",Una enjambre de fragmentos de la Amenaza se arremolina alrededor de la nave.,Reduce la capacidad de combate en un %s y aumenta el coste de mantenimiento en un %s.,graphics/hullmods/fragment_swarm.png
Fabricador Secundario,secondary_fabricator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",20000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.SecondaryFabricatorHullmod,Aumenta la velocidad a la que se lanzan los fragmentos de repuesto en un %s.,Aumenta la tasa de repuesto de fragmentos.,Aumenta la tasa de repuesto de fragmentos en un %s adicional.,graphics/hullmods/secondary_fabricator.png
Coordinador de Fragmentos,fragment_coordinator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",15000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.FragmentCoordinatorHullmod,Aumenta el número máximo de fragmentos en el enjambre de fragmentos de la nave en un %s.,Aumenta el tamaño del enjambre de fragmentos que rodea la nave.,Aumenta el tamaño del enjambre de fragmentos en un %s adicional.,graphics/hullmods/fragment_coordinator.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Casco del Malevo,dweller_hullmod,,,,dweller,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.combat.dweller.DwellerHullmod,Añade los elementos visuales del Malevo Envuelto y cualquier mecánica personalizada. No es visible para el jugador.,,,
Manto Envuelto,shrouded_mantle,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedMantleHullmod,"La nave intentará (con suerte) alejarse del peligro cuando sufra daños importantes en el casco.

Las bajas entre la tripulación en combate aumentan en un %s.",La nave se aleja para evitar los daños.,La nave se beneficia del %s de la curación proporcionada por Fisura Voraz.,graphics/hullmods/shrouded_mantle.png
Nube de Tormenta Envuelta,shrouded_thunderhead,,,,"codex_unlockable, shrouded, no_drop_salvage","Weapons, Special",,,,,5,10,15,25,com.fs.starfarer.api.impl.combat.dweller.ShroudedThunderheadHullmod,<created by script>,La nave dispara Rayos Fisura hacia objetivos recientes de sus armas.,,graphics/hullmods/shrouded_thunderhead.png
Lente Envuelta,shrouded_lens,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedLensHullmod,<created by script>,"La Lente enfoca automáticamente los objetivos cercanos e inflige daño en un área.",,graphics/hullmods/shrouded_lens.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Grupo de Batalla XIV,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"Esta nave es una superviviente del Grupo de Combate XIV del Dominio original que fundó la Hegemonía. Constituye un ejemplo paradigmático de la doctrina de «batalla decisiva» de la Armada del Dominio, manifiesta especialmente en una serie de modificaciones estructurales radicales (llevadas a cabo con métodos industriales anteriores al Colapso) que permiten montar un blindaje más pesado mediante un aumento fijo de %s unidades estándar, con solo una reducción del %s en velocidad y maniobrabilidad. Sus sistemas de energía excepcionalmente bien ajustados aumentan el rendimiento y la capacidad de flux en un %s con respecto a los modelos estándar de este casco.",,,graphics/hullmods/fourteenth.png
Auxiliar Militarizado de la Hegemonía,heg_militarized,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"Esta nave figura —o figuraba— en la lista de auxiliares de la Hegemonía. Los kits de blindaje aplicados en los astilleros navales de la Hegemonía no han supuesto ninguna pérdida de rendimiento a cambio de un aumento del %s/%s/%s/%s en la resistencia del blindaje, dependiendo del tamaño del casco. Los sistemas de energía principales se han actualizado a estándares militares, resultando en una mejora del %s en la maniobrabilidad general, un aumento del %s en la capacidad de flux, un aumento del %s en la disipación de flux y un aumento del nivel máximo de propulsión en un %s.",,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blindaje Afectado,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"El blindaje de esta nave ha sufrido daños graves e irreparables en algún momento del pasado, o ha sido objeto de errores graves durante el proceso de fabricación. El índice de blindaje se ha reducido en un %s.

El coste de suministros para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/compromised_armor.png
Casco Afectado,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"El casco de esta nave ha sufrido daños graves e irreparables en algún momento del pasado, o ha sido objeto de errores graves durante el proceso de fabricación. La integridad del casco se ha reducido en un %s.

El coste de suministros para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/compromised_hull.png
Motores Degradados,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Ya sea por daños de combate, defectos de fabricación o una falta de mantenimiento prolongada, los motores de esta nave sufren una disminución permanente de su rendimiento en combate.

La velocidad máxima y la maniobrabilidad en combate se reducen en un %s.

El coste de suministros para recuperarse tras un despliegue se reduce en un %s.",,,graphics/hullmods/degraded_engines.png
Campo de Propulsión Degradado,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"Ya sea por daños de combate, defectos de fabricación o ciclos de mantenimiento deficiente, el campo de propulsión de esta nave sufre una pérdida permanente de rendimiento. 

El nivel máximo de propulsión se ha reducido en un %s. El perfil de los sensores se ha incrementado en un %s.

El coste de suministros para recuperarse tras el despliegue se ha reducido en un %s.",,,graphics/hullmods/degraded_drivefield.png
Red Eléctrica Defectuosa,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Ya sea por daños de combate, defectos de fabricación o ciclos de mantenimiento deficiente, la red eléctrica de esta nave nunca podrá alcanzar su máximo rendimiento.

Capacidad de flux reducida en un %s. Tasa de disipación de flux reducida en un %s. Perfil de los sensores aumentado en un %s.

Coste de suministros para recuperarse tras el despliegue reducido en un %s.",,,graphics/hullmods/faulty_power_grid.png
Bobinas Phase Inestables,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"Las bobinas phase de esta nave son imposibles de calibrar correctamente debido a pequeños defectos. Reduce la bonificación de tiempo phase en un %s, reduce el tiempo de máximo rendimiento en un %s y aumenta la velocidad a la que se degrada la capacidad de combate en un %s.

El coste de suministros para recuperarse tras un despliegue reducido en un %s.",,,graphics/hullmods/phase_coil_instability.png
Daños Estructurales,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"Es evidente que el casco de esta nave ha sufrido daños graves en el pasado, tal vez hasta el punto de romperse. La resistencia del blindaje se ha reducido en un %s y la integridad del casco en un %s.

El coste de suministros para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/structural_damage.png
Matriz de Sensores Defectuosa,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"La matriz de sensores de la nave ha sufrido daños irreparables, salvo que se realice una restauración completa del casco. El alcance de las armas en combate se ha reducido en un %s. La potencia de los sensores se ha reducido en un %s.

El coste de suministros para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/glitched_sensor_array.png
Comunicaciones Defectuosas,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"El sistema de comunicaciones ha sufrido graves daños, lo que hace que superar las interferencias del campo de batalla resulte aún más complicado. El alcance de combate de los cazas se ha reducido en un %s.

El coste de suministros para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/malfunctioning_comms.png
Fabricación Defectuosa,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"La fábrica que produce los chasis de cazas no es fiable, y la mayoría de los componentes presentan defectos menores. La velocidad de los cazas se reduce en un %s y el daño recibido aumenta en un %s.

El coste de suministros para recuperarse tras un despliegue se reduce en un %s.",,,graphics/hullmods/defective_manufactory.png
Cubierta de Despegue Dañada,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"La cubierta de despegue de esta nave han sufrido daños importantes que dificultan considerablemente su funcionamiento normal. El tiempo necesario para lanzar cazas de repuesto aumenta en un %s.

El coste de suministros para recuperarse tras un despliegue se reduce en un %s.",,,graphics/hullmods/damaged_flight_deck.png
Subsistemas Poco Fiables,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"Una pérdida generalizada de componentes redundantes reduce el tiempo máximo de funcionamiento en un %s y aumenta la velocidad a la que se deteriora la preparación para el combate en un %s.

El coste de los suministros necesarios para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/fragile_subsystems.png
Almacenamiento Comprometido,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"La capacidad de almacenamiento de esta nave se ha visto considerablemente reducida. La capacidad para tripulación, carga y combustible se ha reducido en un %s.

El coste de los suministros necesarios para recuperarse tras un despliegue se ha reducido en un %s.",,,graphics/hullmods/compromised_storage.png
Mantenimiento Incrementado,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"Aumenta el coste mensual de suministros para el mantenimiento en un %s. Aumenta la tripulación mínima necesaria en un %s. Reduce la capacidad de combate máxima en un %s.

Se reduce en un %s el coste de los suministros necesarios para recuperarse tras un despliegue.","Aumenta los costes de mantenimiento y la tripulación mínima, y reduce la capacidad de combate máxima.",,graphics/hullmods/increased_maintenance.png
